,gps_time,alt,amb,ch4,ch4d,co,co2,co2d,cod,cog,gasp,h2o,hdop,heading,lat,lon,pressure,rd1,rd2,sog,t,temp,wd_corr,wd_uncorr,ws_corr,ws_uncorr
0,2023-06-21 15:03:26.900,122.9,25.4116066648,2.0813650120400005,2.10624526371,0.145171456016,453.047090236,455.90426911,0.175693723792,356.2,50.593215729200004,16055.0488886,1.3,258.3,43.6612916667,-79.3989266667,1010.6,9.86301775398,24.6080243482,0.3,22.052969646100003,23.3,199.4,304.4,1.0,2.1
1,2023-06-21 15:03:27.900,122.9,25.4138596988,2.08121709375,2.10609909775,0.145155846697,452.910200161,455.765432319,0.17572271950100002,8.2,50.5932118787,16058.212074899999,1.3,258.4,43.66129,-79.3989266667,1010.8,9.86302169334,24.608036590799998,0.0,22.0541684339,23.3,193.1,293.0,1.0,1.9
2,2023-06-21 15:03:28.900,122.9,25.416147885300003,2.0810668675799997,2.1059564756,0.14513999383600001,452.77117427800005,455.62996163599996,0.175751012206,146.9,50.5932079681,16061.298569499999,1.3,258.5,43.66129,-79.3989266667,1010.6,9.863025694160001,24.6080490244,0.0,22.0553859257,23.3,191.1,292.5,1.1,2.1
3,2023-06-21 15:03:29.900,122.9,25.4183657106,2.0809212608400003,2.10580898149,0.145124628446,452.63642341,455.489863292,0.175780271387,10.8,50.5932041778,16064.4904984,1.3,258.4,43.6612883333,-79.3989266667,1010.8,9.863029571950001,24.6080610757,0.0,22.0565659798,23.4,189.7,292.3,1.0,1.9
4,2023-06-21 15:03:30.900,122.8,25.420602004000003,2.08077444162,2.10566600803,0.145109135108,452.50055046,455.35405891199997,0.17580863378400002,2.5,50.5932003559,16067.5845958,1.3,258.4,43.6612883333,-79.398925,1010.8,9.863033482030001,24.6080732274,0.1,22.057755860300002,23.4,188.4,286.1,0.8,1.5
5,2023-06-21 15:03:31.900,122.8,25.4228901853,2.0806242157900003,2.1055185060799997,0.145093282283,452.361524893,455.213953115,0.175837894522,2.6,50.593196445299995,16070.776694400001,1.3,258.3,43.6612883333,-79.398925,1010.6,9.86303748284,24.608085661,0.1,22.058973349299997,23.4,188.6,292.4,0.6,1.3
6,2023-06-21 15:03:32.900,122.8,25.425108022800003,2.08047860825,2.1053755473400004,0.14507791680999998,452.226773288,455.078162725,0.175866253997,3.4,50.593192655,16073.8704731,1.3,258.5,43.6612866667,-79.398925,1010.7,9.863041360650001,24.6080977123,0.1,22.0601534098,23.4,212.9,331.0,0.6,1.3
7,2023-06-21 15:03:33.900,122.8,25.4273962584,2.08032837887,2.10522871685,0.145062063609,452.087744426,454.938694716,0.175895381534,5.1,50.5931887443,16077.048040700001,1.3,258.5,43.6612866667,-79.398925,1010.8,9.86304536156,24.608110146199998,0.1,22.061370927600002,23.4,241.1,348.5,0.8,1.5
8,2023-06-21 15:03:34.900,122.8,25.4296493488,2.08018045686,2.10508393788,0.145046453898,451.950850915,454.801175365,0.175924102099,8.5,50.5931848938,16080.1812111,1.3,258.7,43.6612866667,-79.398925,1010.8,9.863049301010001,24.6081223891,0.0,22.062569745500003,23.4,259.3,341.5,0.6,1.0
9,2023-06-21 15:03:35.900,122.8,25.4319043075,2.08003241221,2.10493854525,0.14503083124399999,451.813843895,454.663073123,0.175952944399,9.1,50.59318104,16083.3276618,1.3,258.8,43.6612866667,-79.398925,1010.7,9.86305324373,24.6081346422,0.0,22.0637695575,23.4,227.4,320.8,0.8,1.4
